ID,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
7IFAwaH6gDfY74xn9TDqc8,0.44,0.398,72031,0.626,0.804,3,0.293,-8.138,1,0.0289,104.273,4,0.319
4xF4ZBGPZKxECeDFrqSAG4,0.929,0.466,124066,0.0918,0.803,10,0.439,-26.813,1,0.0269,95.014,4,0.0841
5SZGJAU5WG9nUdFs0xB9PK,0.267,0.474,90644,0.582,0.79,6,0.327,-10.298,0,0.0359,88.561,3,0.377
6Qvk2mAHx0lxIJRORfuQ2G,0.0135,0.659,480001,0.505,0.788,1,0.0688,-10.518,0,0.0309,119.981,4,0.273
7A00ihTMsuNTMdv29eI6rg,0.0671,0.444,166583,0.255,0.787,8,0.125,-11.491,1,0.0397,139.645,4,0.0739
3kxkjirben9RVm9NqYa6rm,0.0027,0.477,248347,0.483,0.783,4,0.156,-9.413,0,0.0364,170.026,4,0.123
2iwMiWOLogxv9JvecBWYm3,0.399,0.06,154067,0.248,0.782,7,0.104,-13.247,1,0.0359,50.864,4,0.0307
0grtWTy7SrDVrxaT85MQuD,0.206,0.584,247693,0.795,0.78,4,0.0913,-7.176,0,0.0536,130.033,4,0.609
4RwpzeZFX727FtfMdZNjNd,0.165,0.58,228060,0.229,0.776,8,0.0872,-12.436,1,0.0382,179.041,3,0.13
32TcrSv4dUcx6jQloOfJ9w,0.0179,0.636,72883,0.479,0.773,0,0.212,-6.003,1,0.0412,162.912,4,0.81
1DWUGnny2b4zyBM4pr9j6K,0.931,0.647,188308,0.247,0.772,7,0.103,-13.424,0,0.115,75.776,4,0.168
6q4c1vPRZREh7nw3wG7Ixz,0.991,0.412,103920,0.159,0.772,9,0.083,-14.214,1,0.0278,85.462,4,0.0389
0T05ngOIDbeEb3IVodBhRW,0.0893,0.672,175200,0.503,0.763,0,0.189,-10.125,1,0.0386,100.012,4,0.51
